date,agenda,speechnumber,speaker,party,chair,text,agenda_id,agenda_topics,agenda_title,num_topics,agenda_speechnumber,agenda_title_normalised,word_count
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],201,David Trippier,Con,False,"I will give the hon. Gentleman that explanation. Like Opposition Members, I do not believe that the problem of homelessness is a matter for housing policy in the round. I shall develop that theme throughout my speech. I noticed that the hon. Gentleman ducked the opportunity that I put to him, and which I now put to the hon. Member for Hammersmith, to intervene now or at some later stage and explain why the Labour Government cut public housing in their last two years.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,7,housing,84
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],202,Clive Soley,Lab,False,"I shall deal with it now. I shall not let the Government duck the issue. In their last year, the Labour Government produced over 70,000 houses. It was not one of our best years, not least because of oil price rises. The Minister is saying that he wants to cut public expenditure because it must be limited. Will he limit the public expenditure outlay on mortgage income tax relief, which is now up to nearly Â£6 billion, one quarter of which goes to those who earn over Â£25,000 a year?",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,8,housing,90
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],203,David Trippier,Con,False,"It could possibly be the greatest understatement we have heard in the House that the last year of the last Labour Government was not one of their best. We can assume that that is correct because it led to the general election at which they were defeated. The hon. Gentleman, however, did not answer my question.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,9,housing,56
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],204,Eric Heffer,Lab,False,"The hon. Gentleman will be aware that we were building more houses than have been built since, but he asked a fair question. Why did the Labour Government cut back on housing? He should know-I do not think that he was here at the time-that many of us on the Back Benches fought strenuously against the housing cuts that were being made by the Labour Administration. They unfortunately had to make those cuts because they were asked to do so by the IMF, which adopted not the Socialist policies for which some of us were arguing but the capitalist Tory policies to which we objected.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,10,housing,105
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],205,David Trippier,Con,False,"The hon. Gentleman knows that I have some respect for him, not least in the matter of his honesty, and that was an honest comment which I believe to be true. The only correction I would make is that, prior to the IMF coming on the scene, the Financial Secretary to the Treasury of the day, now Lord Barnett, had already cut that budget, and in the noble Lord's book "" Inside the Treasury"" he explains in clear detail what happened during the period to which the right hon. Member for Liverpool, Walton (Mr. Heffer) referred.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,11,housing,96
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],206,Dennis Skinner,Lab,False,We know all about that.,1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,12,housing,5
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],207,David Trippier,Con,False,"I appreciate that the hon. Gentleman may know, but some may not. The noble Lord says on page 91 of his book: "" My main difficulties were with Peter Shore, who as Secretary of State for the Environment, controlled very large budgets in the local authority field. I felt some of them were eminently 'cuttable', especially in expenditure on roads and housing."" The hon. Member for Walton will agree with that, in view of what he said in his intervention. The Labour party still does not seem to realise that the old approach carried the seeds of its failure and of that Government's destruction. In private renting, the fixing of rents at levels that could barely cover the cost of repairs has led to a catastrophic decline. Private renting provided 50 per cent. of the total stock of dwellings in the country immediately after the war. The figure is now only 8 per cent. That is in stark contrast to 30 per cent. in France and 40 per cent. in Germany. That 42 per cent. of the private rented stock is in poor condition is a direct consequence of the interference in the market that prevented good landlords from making a modest return and encouraged disreputable landlords- I thought that the hon. Member for Walsall, North (Mr. Winnick) would come in at that remark. I referred to the disreputable landord, the type to whom the hon. Gentleman keeps referring; he dreams or has nightmares about Rachman and has already mentioned him in this debate.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,13,housing,254
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],208,David Winnick,Lab,False,I have indeed.,1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,14,housing,3
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],209,David Trippier,Con,False,"If anyone deserves to have nightmares, it is the hon. Member for Walsall, North. I admit that disreputable landlords were encouraged to get rid of their tenants to cash in on the price gap between tenanted properties with controlled rents and empty properties for sale. Some people, such as the hon. Member for Walsall, North, find it difficult to believe that the Rent Acts, which were designed to protect tenants, should, in the long run, have done so much harm, but they did. In fact, they were absolutely disastrous. The council sector, like all centrally directed programmes, gradually lost touch with what people wanted and eventually produced the concrete mazes that we see in many of our inner cities today--",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,15,housing,120
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],210,David Trippier,Con,False,"-including the city which the hon. Member for Leeds, West (Mr. Battle) represents.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,16,housing,13
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],211,John Battle,Lab,False,"Despite that remark by the Minister about my city, I am not sure that he knows that the Government of which he is a member did not give much assistance in sorting out the concrete jungle built by Shephards, but that is another story. Why was public housing built in the first place? Was it not because conditions in the private rented sector, which predominated in cities such as mine, with 172,000 back-to-back properties, were so bad that public health legislation had to be passed? That led the Government to decide that the only way to provide housing with inside lavatories, bathrooms, and so on, was to build them through the public sector, supported from the common treasury. Is the hon. Gentleman saying that that is not the history of public housing?",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,17,housing,132
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],212,David Trippier,Con,False,"Perhaps the hon. Gentleman should have listened more carefully to my remarks about what happened immediately after the war. I have no doubt that there was all-party support for that crash building programme. That is no excuse for the decline in the private rented sector from 50 per cent. to 8 per cent. today, in contrast with the position in other developed western countries.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,18,housing,64
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],213,Harry Greenway,Con,False,"My hon. Friend is right in what he says about concrete jungles. I lived in east London and saw how that area was reduced to a concrete jungle by Labour housing policy. Is my hon. Friend aware that Ealing council will do the same to Ealing unless it is prevented from doing so? When the Labour council took over in 1986 there were 30 families in bed-and-breakfast accommodation waiting to be rehoused. People were sucked on to that list from all over the nation and from all over the world, so that the list now comprises 1,300 families and the cost has risen from Â£300,000 to Â£16 million per annum. The only way to rehouse all those people in Ealing would be to build on every blade of grass and turn the borough into another concrete jungle, but that must not be allowed to happen.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,19,housing,145
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],214,David Trippier,Con,False,"I understand the problem outlined by my hon. Friend and, if anything, he understates the case. Because of the dramatic development of public housing, the housing stocks in each borough were too great for people to manage efficiently. I do not want to tar all councils with the same brush, but monopoly suppliers in any market tend to see their tenants as dependants instead of as consumers. The modern-day municipal paternalists and their defenders on the Opposition Benches are genuinely confused-none so much as the hon. Member for Walsall, North-as to why their brand of paternalism does not work. They do not see that the root cause of the problem is the assumption that they know what is best for the tenants. In direct contrast, this Government's approach is that those tenants should be free to make their own choices.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,20,housing,140
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],215,David Trippier,Con,False,"This is a short debate and I have already allowed perhaps half a dozen interventions. I have tried to be fair to the House, but I now must press on. The first of our policies is to put the consumer first. We believe that people can, should and want to take personal responsibility for their housing. State resources should be concentrated on those people who are genuinely in need and who are not able to compete in the market. But they, too, should have far more choice than they have had in the past, including the right to change their landlords if they do not get a decent service. The lack of response by the state-directed system of housing supply has meant that, although countryr j 3-8wide there are enough houses for everybody, there are severe local shortages in some areas. In areas of shortage, the most vulnerable households could suffer severely if Government support were cut off. So we intend to maintain a major programme of subsidised housing, but we cannot do that unless we make every penny of public money count. The second part of our policy is good housekeeping in the use of that public money. Because public expenditure must be limited, choices have to be made. The old approach, with its insistence on the exclusive use of public sector resources, while rents were often kept low for local political reasons, entailed a huge amount of waste and inefficiency. If we can get private investment to add to investment by the public sector in housing, why not do so and build more houses? If better-off people can afford to pay higher rents, why hold their rents down and so reduce the money available to support poorer people? Why should taxpayers, many of whom are not well off, pay subsidies to people who do not need them? Why should we use public investment where private investment will do the job? We should focus public resources on those who need them most-the poor, the elderly, the chronically sick and the handicapped. That approach of consumer choice, good housekeeping and focusing support on those with the greatest needs, has shaped the Government's housing policy since 1979. We started with the expansion of home ownership, but the Labour party attacked our right-to-buy policy.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,21,housing,382
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],216,Anthony Favell,Con,False,"I have been waiting patiently for my hon. Friend to refer to private housing. The Minister has spoken of local authorities and the way in which they have restricted the supply of rented property. Would he like to say something about tight planning controls and their effect on the price of building land? Is he aware that during the 1960s agricultural land was being released at almost three times the rate it is today and during the 1970s at almost twice the rate, and that the price of building land is going through the roof? In the north-west prices increased by 90 per cent. in 1987 and are likely to have more than doubled in 1988. There will be a great effect on the price of housing. Figures issued only last week show that the price of housing in Southampton went up by 50 per cent. last year.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,22,housing,148
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],217,David Trippier,Con,False,"I have sympathy with my hon. Friend's remarks. That is precisely why my hon. and learned Friend the Minister for Water and Planning recently announced measures that will help to ease the position. I was saying that the Labour party viciously attacked the right-to-buy policy. The right hon. Member for Manchester, Gorton (Mr. Kaufman) said that it would not work. But it has worked well; in fact, it has been an astonishing success. Well over a million council tenants have bought their own homes since 1979, which is bringing in billions of pounds of private resources to ease the strain on the public purse. They are taking the management of their housing into their own hands. There have been 4 million first-time buyers since we came to power in 1979. Two out of three households in England own their own homes. Now we are tackling the rented sector. First, in the rented sector, new tenancies at market rents will encourage existing landlords to continue renting. The tax incentives in the business expansion scheme will accelerate that process. Secondly, in the housing association sector, a 70 per cent. increase in public resources will be supplemented by extra private money to give it new impetus. Thirdly, the financial system for councils' housing will be changed so that they cannot hide poor performance by subsidies from the rates. If they do not operate efficiently, the results will be only too visible to their tenants. When authorities like Southwark can allow properties to remain vacant between relets for an average of 24 weeks, or nearly half a year, it cannot be denied that better management is badly needed. Just nine Labour-controlled inner London boroughs, and Liverpool, account for 38 per cent. of the national total of rent arrears, at Â£86 million between them. Large amounts of arrears, sometimes running into four figures, are owed by individual Labour councillors. It cannot be denied that better accountability is vital.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,23,housing,323
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],218,Eric Heffer,Lab,False,"I am sorry to interrupt the Minister once again. On the question of rent arrears in Liverpool, is he aware that, in Liverpool more than 15,000 people have been out of work for longer than five years? If the Minister wants to know about rent arrears and the problems of the unemployed, perhaps he should come to some of the estates in my area and see how the people survive on that basis.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,24,housing,73
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],219,David Trippier,Con,False,"I assure the hon. Gentleman that I am well aware of his estates. He knows that because of my frequent visits to Liverpool. My interview on Radio Merseyside this morning with Keva Coombes resulted in the leader of Liverpool city council admitting that it was totally unacceptable to have arrears at the level they are in Liverpool and that it adversely affected those who were paying their rents as well as the ratepayers, because the council has been taking money from the general rate fund to subsidise the housing revenue account. Council tenants who feel unhappy with the service that they are getting from their landlords will be able to opt out and accept a new landlord, often a housing association. Whether they go or stay, their freedom to choose will act as a stimulus to efficiency and service. Indeed, it is already doing so. There are plenty of examples of deathbed repentance by councils who are trying to win back the affections of their tenants. In addition, a new system for allocating resources for investment by councils would ensure that resources for renovation are much better focused on the areas of real need, rather than on areas that have the most receipts. Opposition Members should welcome such a change, if only they understood it, for many of the areas that they represent will benefit. In the recent Second Reading debate, the hon. Member for Hammersmith seemed to understand so little that he appeared to be quite scandalised by a reform that would help the poorer areas. Alongside these policies, we are also introducing new arrangements for improvement grants, so that they are concentrated on those people who most need support, while maintaining a level of expenditure that in real terms is almost double the level of that it reached under the Labour Administration. Twice as much money will be available, and it will be better targeted on the less well off. I should have thought that Opposition Members would welcome that; but they would not recognise good news if it jumped up and hit them in the face. When combined, these new policies will have a much more effective impact on the most severe forms of housing need, including homelessness. Housing provided with the help of public sector funds will correspond much more closely with what the tenants themselves want. That is why they will no longer be entirely dependent on their local councils. That is why the Opposition are so agitated. Homelessness is one of the most bitter legacies of the old approach to housing that is still espoused by the Opposition. It really. is amazing that with 300,000 more houses than households there should still be more than 30,000 homeless families in temporary accommodation. There can be no clearer demonstration of the misallocation of resources that always results from a State-directed approach to housing. As the Audit Commission's report on homelessness pointed out, if the average period taken to re-let a vacant local authority property could be reduced by three weeks outside London and six weeks in London, the number of vacant properties could be reduced to such an extent that an extra 17,700 relets would become available. I know that the Housing Act 1988 has been debated exhaustively but there is one topic that needs to be dealt with now-the Opposition's misleading and irresponsible propaganda. All over the country, material is being produced and circulated to tenants on tenants' choice and housing action trusts, which is full of untruths. I am naturally constrained, Madam Deputy Speaker, to use parliamentary language. But it is full of untruths and half-truths and economical half-truths and terminological inexactitudes. Elderly tenants are terrified by leaflets suggesting that their properties are to be handed over to the reincarnation of Rachman. What deceit. The hon. Member for Hammersmith is party to that deceit. He undertook to condemn misleading propaganda about tenants' choice. He will recall giving me and the House that undertaking when we were considering the Housing Bill last November. The hon. Gentleman seems to have forgotten that promise. I wrote to him on 19 December, enclosing a leaflet produced by Nottinghamshire county council, which is full of complete distortions of the truth. I shall give just one example. It says that rents will go up to market levels under tenants' choice. There was no mention of the fact that the only landlords allowed in tenants' choice will have specifically signed up to charge rents that those on low incomes can afford. There was no mention of the fact that rent levels and arrangements for reviewing them will be one of the matters on which tenants vote.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,25,housing,775
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],220,Clive Soley,Lab,False,"I must correct the Minister before he gets deeper into the hole. The leaflet was not issued by Nottinghamshire county council. I checked that, and I was going to tell the Minister later. The Minister is doing exactly what he has accused the Opposition of doing. The leaflet was issued at a much earlier stage in the Bill's consideration by a housing group that was not related to the council.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,26,housing,70
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],221,David Trippier,Con,False,The hon. Gentleman at least acknowledges that the material exists. I hope that he will denounce it publicly. It never is anything to do with the Labour party. I shall come back to that point in a few moments.,1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,27,housing,39
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],222,Martin M Brandon-Bravo,Con,False,"I am most grateful to the Minister for giving way, as Nottinghamshire has been mentioned. That material might not be technically or legally issued by county or city, but the House must know, and the Minister will confirm, that the hon. Member for Nottingham, North (Mr. Allen)-I am sad that he is not in his place-has been the greatest peddler of the terminological inexactitudes to which the Minister has just referred.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,28,housing,71
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],223,Eric Heffer,Lab,False,"On a point of order, Madam Deputy Speaker. I distinctly heard the Minister say that it was Nottinghamshire county council that put out the leaflet. Now he says that it may not have been. He had better withdraw, because it is wrong for a Minister to come to the House and accuse Nottinghamshire county council and then not admit that he is wrong. I ask the Minister to withdraw that now.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,29,housing,71
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],224,CHAIR,,True,I am sure that the Minister will make his position clear on the matter.,1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,30,housing,14
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],225,David Trippier,Con,False,"I shall, Madam Deputy Speaker. I assure the hon. Gentleman that if I am wrong and if Nottinghamshire county council never played any part in producing the leaflet, I shall be the first to apologise for that mistake, as I always do. The hon. Member for Hammersmith should not open his mouth at this precise time because I am about to refer to other things that he said he would do but has not done. Having sent two letters to me within one week prior to Christmas, he has not yet replied to my latest letter. It was probably lost in the Christmas post. When he challenged me to debate these issues in public-I cannot think of a more public place than this-in the media or on television, I was happy to accept. I repeat that acceptance now. I am happy to debate the issue with him or with any of his colleagues anywhere, at any time. I think that the hon. Gentleman has realised his mistake. I call on him seriously to condemn unreservedly the literature which is going round. If he does not wish to be associated with it-he clearly does not-let him condemn it, say what is wrong in it, and spell out to the House what he does not agree with so that the House and the country may know. The hon. Member for Hammersmith does not accept that some tenants may vote to pay slightly higher rents in return for better management and repairs. A recent survey by Glasgow university showed that almost 40 per cent. of tenants would be prepared to pay higher rents for a better service. Some may not, but it is their choice. It is not the Official Opposition's choice. It is not the Labour council's choice. It is not the choice of the wider Labour party or any one of its many divisions, and it has many divisions. It is not even the choice of the National and Local Government Officers Association. It is the tenants' choice. They, and they alone, should decide. But when fantasy, imagination, and deception fail him, the hon. Member for Hammersmith has recourse to amateur theatricals. It would be laughable were it not clearly intended to prevent legitimate debate. The way that he and his hon. Friend the Member for Copeland (Dr. Cunningham) tried to sabotage the wind-up speech in the recent Second Reading debate of my right hon. Friend the Member for Suffolk, Coastal (Mr. Gummer) was a disgrace. I fear that it was all too typical of the way some Opposition Members are bringing on to the Floor of the House the deceitful scaremongering tactics used by their Left-wing activists against tenants. But in truth they resort to those tactics because they have nothing else to say, and because they are desperate to appease the bully boys who are no doubt crucial to their own reselection. Behind the Labour party's banner stand those who want to scare tenants into believing that only the council can provide for them; those whose power is threatened by tenants' freedom; and those whose inefficiency will be exposed by tenants' choice. The Labour party protests so much, as it has throughout my speech, because it is frightened at the prospect of competition for its municipal fiefdoms-",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,31,housing,548
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],226,David Trippier,Con,False,"I will not give way. I have given way many times. I have just referred to the tactics deployed by Opposition Members, to which the hon. Gentleman is very much a party. He should sit down and listen.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,32,housing,38
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],227,John Battle,Lab,False,"On a point of order, Madam Deputy Speaker. I think it ought to be on the record that if the Minister casts slurs and calls that a speech, and if he makes statements that are not true, hon. Members should have the opportunity to interrogate those statements. It is part of our duty--",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,33,housing,53
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],228,CHAIR,,True,"Order. That is not a point of order for the Chair. The Minister will deploy his argument as he sees fit, provided it is within parliamentary conventions.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,34,housing,27
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],229,David Trippier,Con,False,"We have just had a first-class example of the type of tactics that I was talking about. The hon. Member for Leeds, West simply does not listen. That is the tactic with which we are all too familiar in the House and outside in matters concerning housing, and particularly housing association trusts, which the hon. Gentleman does not know much about, but which exist in his city. That tactic is deployed there. The reason why it is deployed by him, and by the hon. Members for Hammersmith and for Copeland is that they are frightened of giving tenants a choice. They are frightened of competition for their municipal fiefdoms. They are frightened because it is the last bastion of the Labour party- The Government are proud to be the champion of greater freedom, of consumer choice, of more competition and of greater efficiency. Our response to the challenge of today is to trust in people's judgment and their self-reliance, and to let the consumer rule.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,35,housing,165
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],230,Robert B Jones,Con,False,"On a point of order, Madam Deputy Speaker. Towards the end of the excellent opening speech by my hon. Friend the Minister, the hon. Member for Leeds, West (Mr. Battle), twice in my hearing, accused my hon. Friend of lying. He should not use remarks like that in the House simply because he does not like what is being said. He should withdraw.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,36,housing,63
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],231,CHAIR,,True,Within my hearing no hon. Member accused anyone of lying. They used other words but they certainly did not accuse the Minister of lying. I have very good hearing. That is not a point of order.,1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,37,housing,36
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],232,Robert B Jones,Con,False,"Further to the point of order, Madam Deputy Speaker. I am sitting nearer to the hon. Gentleman. I accept that you may not have heard it, but I am sure that the hon. Member for Leeds, West will he honest enough to admit to the House that that was precisely what he said.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,38,housing,53
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],233,CHAIR,,True,"Had he done that, I am sure the Minister, who is very much alive to what has been going on, would have taken up the matter himself. We must proceed with the debate.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,39,housing,33
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],234,Clive Soley,Lab,False,"Anyone listening to the Minister's speech who had a housing problem would be appalled at what he had to say. One would think from his speech that there was not a housing problem. I wish to deal with various matters, including some raised by the Minister, but first I will make two other points. First, I want to be as tight with time as I can because it is a short debate. Secondly, I apologise to the House because I will have to leave half an hour early for a meeting on the poll tax at which the Secretary of State for the Environment and I are speaking. I would not like him to be without the advantage of the guidance and the assistance that I may be able to give him from time to time. The point that we are making strongly, and with increasing support from across the political spectrum, is that there is a growing housing crisis. Every time the Government try to duck it by referring to the past or to individual local authorities or councillors, they bring shame on themselves because they cannot face up to the problem. What is it? It is a crisis of mortgage rates and market rents. It is a catastrophe of escalating homelessness. It is a lack of low-cost accommodation for rent or sale. The Chancellor of the Exchequer's disastrous reliance on interest rates has clobbered home owners with a vengeance. We should never let anyone say that the Conservative party is the party of the home owner. Yes. The Labour party did far more with start-up schemes and with mortgage relief for first-time buyers than the Conservative party. Let us hear the facts.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,40,housing,284
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],235,Clive Soley,Lab,False,Let the hon. Gentleman hear the facts first; then he may intervene if he wishes. I want to limit interventions. From January 1988 to January 1989 is just 12 short months. Someone on the average mortgage in Britain is now paying Â£81 per month more than in January 1988. In the south-east the payment is Â£112Â·44 per month more; in inner London it is Â£135Â·06 per month more.,1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,41,housing,68
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],236,David Sumberg,Con,False,The hon. Gentleman said that the Labour party is the friend of those who wish to buy their homes. Will he tell the House exactly what the Labour party did for council house tenants who wished to buy their homes?,1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,42,housing,40
